notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
Duplicate of NHS2-0343,NHS2-0009.wav,Lullaby,NA,Unavailable,http://media.theglobaljukebox.org/audio/T5488R02.mp3,,,can't identify song to find alternative sources,http://media.theglobaljukebox.org/audio/T5488R02.mp3,"Global Jukebox, Smithsonian Folkways",,,repeat of above,Lullaby,Aymaran,cent2142,,language,,Aymara,Aymara,Amazon and Orinoco,,ayma1253,ayma1253,aima1242,no,no,no,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lullaby //GLOBAL JUKEBOX CODING ID: 2867//,"Genre: Lullaby Description: Lullaby; lyrics: If your father is getting drunk he'll come and beat us up, so go to sleep my little girl, I'll cover you with my blanket, go to sleep //GLOBAL JUKEBOX CODING ID: 2867//",NA,Disc 1 / Track 17 (From Smithsonian Folkways),Yes,5,Yes,,2/23/2018 12:53:01,HLR
Duplicate of NHS2-1027,NHS2-0012.wav,Dancing song,NA,Unavailable,http://media.theglobaljukebox.org/audio/T5404R03m.mp3,,,,http://media.theglobaljukebox.org/audio/T5404R03m.mp3,Global Jukebox,,,repeat,Dance,Guahiboan,guah1255,,language,,Guahibo,Guahibo,Amazon and Orinoco,,guah1252,guah1252,guah1255,no,unknown,yes,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Song: Dancing song Genre: Dance song; men's song //GLOBAL JUKEBOX CODING ID: 1804//,Description: Dance song; men's song; sung in separated choirs which have staggered recitals of the litany idea //GLOBAL JUKEBOX CODING ID: 1804//,NA,,Yes,3,Yes,,########,HLR
Duplicate of NHS2-1028,NHS2-0013.wav,Healing Song,NA,Unavailable,http://media.theglobaljukebox.org/audio/T5404R01m.mp3,,,,http://media.theglobaljukebox.org/audio/T5404R01m.mp3,Global Jukebox,,,repeat of above,Healing,Guahiboan,guah1255,,language,,Guahibo,Guahibo,Amazon and Orinoco,,guah1252,guah1252,guah1255,no,unknown,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Song: Healing Song Genre: Healing song //GLOBAL JUKEBOX CODING ID: 1802//,Description: Healing Song; sung by older woman; recorded at El Totumo Farm //GLOBAL JUKEBOX CODING ID: 1802//,NA,,Yes,3,Yes,,########,HLR
subject to tribal permission,NHS2-0058.wav,Medicine Woman's Song,NA,Unavailable,,,,,https://theglobaljukebox.org,Global Jukebox,,,subject to tribal permission,Healing,Athabaskan-Eyak-Tlingit,carr1249,,language,,Dakelh,Dakelh,Arctic and Subarctic,,atha1245,carr1249,carr1249,yes,yes,yes,crx,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing song //GENRE ON GLOBAL JUKEBOX//,Medicine woman's song; male duet over slow hand clapping and interjections //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 1516, found by searching Dakelh",,,No,,2/15/2018 16:47:29,CMB
subject to tribal permission,NHS2-0059.wav,Love Song,NA,Unavailable,,,,,https://theglobaljukebox.org,Global Jukebox,,,subject to tribal permission,Love,Athabaskan-Eyak-Tlingit,carr1249,,language,,Dakelh,Dakelh,Arctic and Subarctic,,atha1245,carr1249,carr1249,yes,yes,yes,crx,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Love Song //SONG AND GENRE LABELS IN GLOBAL JUKEBOX//,Love song; male soloist unaccompanied //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 3154, can be found by searching Dakelh",,,No,,2/15/2018 16:43:39,CMB
repeat of 0065,NHS2-0064.wav,Sakausiq,Track 27,Unavailable,,,,,http://www.worldcat.org/title/songs-of-the-inuit-iglulik-canada/oclc/65196223,"WorldCat, Discogs",,,repeat of above,Healing,Eskimo-Aleut,east2534,,language,,Inuit Iglulik,Inuit Iglulik,Arctic and Subarctic,,eski1264,west2618,inui1246,no,yes,yes,ikt,No secondary function,No,,,,The song is identified as such in its title or label,Curing Songs //LABEL FROM DISCOGS//,NA,NA,Track listing and info at discogs: https://www.discogs.com/Inuit-Inuit-Iglulik/release/1588002 NOTE: Worldcat album appears to be a re-released version of discogs album. New version's link chosen for album accessibility. Track listing is identical. Discog album/older version link on Worldcat: http://www.worldcat.org/title/inuit-iglulik-canada/oclc/725386988&referer=brief_results,,,No,,2/22/2018 14:23:23,CMB
subject to tribal permission,NHS2-0075.wav,Shaman's Personal Wind Medicine Song,NA,Unavailable,,,,,https://theglobaljukebox.org,Global Jukebox,,,subject to tribal permission,Healing,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Sahtu,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,scs,Shaman,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Shaman song; healing song; medicine song //GENRE ON GLOBAL JUKEBOX//,Shaman's personal wind medicine song; heavy static and distorted sound //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 3092, found by searching Sahtu Dene",,,No,,2/15/2018 17:04:41,CMB
subject to tribal permission,NHS2-0076.wav,"Love Song, Ula",NA,Unavailable,,,,,https://theglobaljukebox.org,Global Jukebox,,,subject to tribal permission,Love,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Sahtu,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,scs,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Love song //GENRE ON GLOBAL JUKEBOX//,Love song; Ula; male soloist in litany over drum and shaker; audience in background //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 1498, found by searching Sahtu Dene",,,No,,2/16/2018 14:01:48,CMB
subject to tribal permission,NHS2-0077.wav,Love Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Love,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Sahtu,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,scs,No secondary function,No,,,,The song is identified as such in its title or label,"Love song //GLOBAL JUKEBOX CODING ID 3094, GENRE FIELD//","Love song; female soloist over drum, shaker; heavy static in recording //GLOBAL JUKEBOX CODING ID 3094, DESCRIPTION FIELD//",NA,"Coding id 3094, search Sahtu Dene",,,No,,########,AMB
subject to tribal permission,NHS2-0094.wav,Campfire Trading and Sweetheart Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Love,Gunwinyguan,djau1244,,language,,Jawoyn: culture not found in eHRAF,Jawoyn,Australia,,gunw1250,djau1244,djau1244,yes,yes,yes,djn,No secondary function,No,,,,The song is identified as such in its title or label,"Trading song; love song //GLOBAL JUKEBOX GENRE LABELS, CODING ID: 1218 //","Campfire trading and sweetheart song referring to the exchange of goods between tribal or classificatory husband and wife, not actually married //GLOBAL JUKEBOX CODING ID 1218, DESCRIPTION FIELD//",NA,,,,No,"Global Jukebox shows ""Recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.""",10/24/2018 16:15:54,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0098.wav,Spiritual Song,NA,Unavailable,,,,,https://theglobaljukebox.org/,Global Jukebox,,,subject to tribal permission,Dance,Gunwinyguan,gunw1252,guma1252,language,,Kunwinjku - culture not listed in EHRAF,Bininj,Australia,,gunw1250,guma1252,guma1252,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Ritual song; dance song; chant //CODING ID 1225 GENRE FROM GLOBAL JUKEBOX//,Kunwinjku land lies in the area famous for traditional Aboriginal rock art. Artists belong to clans and visually represent the ancestral creation stories or ‘Dreamings’ of their clan. Each clan has an estate where they hunt and gather edible plants and other necessities. Ancestral beings are believed to have created the features of the land. Spirits that animate an individual’s life reside there and at their death the spirit goes back to a Dreaming place.//CODING ID 1225 IN GLOBAL JUKEBOX//,NA,,,,No,,10/17/2018 16:09:53,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0102.wav,Sea Song,NA,Unavailable,,,,,https://theglobaljukebox.org/,Global Jukebox,,,subject to tribal permission,Story,Iwaidjan Proper,iwai1244,,language,,Iwaidja - culture not listed in EHRAF,Iwaidja,Australia,,iwai1246,iwai1244,iwai1244,yes,yes,yes,ibd,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Story Song //LABELED IN GLOBAL JUKEBOX CODING ID 1207//,Sea song in the Jiwadja language; describes a salt-water fish swimming along// ID 1207 IN GLOBAL JUKEBOX CODING//,NA,,,,No,"Global Juke Box categories as ""Animal song"" in the genre section",10/17/2018 16:26:37,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0104.wav,Sweetheart Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Love,Gunwinyguan,kunb1251,,language,,Gunbalang: Culture not listed in eHRAF,Gunbalang,Australia,,gunw1250,kunb1251,gunw1250,no,yes,yes,wlg,No secondary function,No,,,,The song is identified as such in its title or label,Gossip song //GENRE ON GLOBAL JUKEBOX//,Gunbalang Gossip Song series; lyrics refer to a woman talking about her lover//DESCRIPTION ON GLOBAL JUKEBOX//,NA,,,,No,"Global Jukebox shows ""Recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.""",10/24/2018 16:07:16,YJW
subject to tribal permission,NHS2-0111.wav,Corroboree du kangourou,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Praise,Pama-Nyungan,pint1250,,language,,Anangu(Culture not found in eHRAF),Anangu,Australia,,pama1250,yann1237,pitj1243,no,no,yes,jay,No secondary function,No,,,,The song is identified as such in its title or label,Chant; corroboree song; ceremonial song //GLOBAL JUKEBOX CODING ID: 36//,NA,NA,,,,No,,########,YJW
subject to tribal permission,NHS2-0114.wav,Chant rituel du kangourou,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Praise,Pama-Nyungan,pitj1243,,language,,Anangu (Culture not found in eHRAF),Anangu,Australia,,pama1250,yann1237,pitj1243,no,no,yes,jay,No secondary function,No,,,,The song is identified as such in its title or label,Genre: Shaman song; ritual song; animal song //GLOBAL JUKEBOX CODING ID: 37//,Shaman song; six couplets correspond to six diamonds drawn on the ground that resemble a kangaroo //GLOBAL JUKEBOX CODING ID: 37//,NA,,,,No,"Global Jukebox states ""Recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.""",########,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0118.wav,Wogaitj Mourning Songs,"Track is S1, unclear which Disc",Unavailable,,,,,"http://colsearch.nfsa.gov.aufsa/search/display/display.w3p;adv=;group=;groupequals=;holdingType=;page=0;parentid=;query=Aboriginal%20Music%20From%20The%20Northern%20Territory%20Of%20Australia,%201948;querytype=;rec=0;resCount=10",Global Jukebox,,,subject to tribal permission,Mourning,Wadjiginy,wadj1254,,language,,Wogait,Wadjiginy,Australia,,0,wadj1254,.,no,.,.,wdj,No secondary function,No,,,,The song is identified as such in its title or label,Mourning Song //LABELED IN GLOBAL JUKEBOX CODING ID 1219//,NA,NA,Request access at the link,,,No,,########,DWL
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0119.wav,Mourning Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Mourning,Wadjiginy,wadj1254,,language,,Wogait: culture not found in eHRAF,Wadjiginy,Australia,,0,wadj1254,wadj1254,yes,yes,yes,wdj,No secondary function,No,,,,The song is identified as such in its title or label,Mourning Song //GLOBAL JUKEBOX CODING ID: 1215//,Mourning song of the Wogaitj tribe //GLOBAL JUKEBOX CODING ID: 1215//,NA,,,,No,"Global Jukebox shows ""Recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.""",10/27/2018 13:52:46,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0120.wav,Corroboree Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Procession,Wadjiginy,wadj1254,,language,,Wogait: culture not found in eHRAF,Wadjiginy,Australia,,0,wadj1254,wadj1254,yes,yes,yes,wdj,ceremonial song,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Corroboree song; ceremonial song //GENRE FROM GLOBAL JUKEBOX CODING ID: 1216//,"Further extract from the Wonga recorded at Delissaville; a corroboree is an event at which Australians interact with the Dreamtime through dance, music, and costume //DESCRIPTION FROM GLOBAL JUKEBOX CODING ID: 1216//",NA,,,,No,,10/27/2018 14:21:51,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0121.wav,Corroboree Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Procession,Wadjiginy,wadj1254,,language,,Wogait: culture not founded in eHRAF,Wadjiginy,Australia,,0,wadj1254,wadj1254,yes,yes,yes,wdj,Ceremony,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Corroboree song; ceremonial song //GENRE OF SONG AS LISTED ON GLOBAL JUKE BOX CDING ID 1214//,"Passage from the Indi Indi Wonga Corroboree; a corroboree is an event at which Australians interact with the Dreamtime through dance, music, and costume //DESCRIPTION ON GLOBAL JUKE BOX CDING ID 1214//",NA,,,,No,"Global Juke Box shows ""Recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.""",10/27/2018 13:45:01,YJW
"not on GJ (subject to tribal permission), vinyl is unavailable for purchase or loan: https://www.discogs.com/Australian-Aborigines-Aboriginal-Music-From-The-Northern-Territory-Of-Australia-1948/release/8578331",NHS2-0132.wav,Hawk Song,NA,Unavailable,,,,,https://theglobaljukebox.org/#,Global Jukebox,,,subject to tribal permission,Story,Pama-Nyungan,yuul1239,,family,,Maraian Singing,Maraian,Australia,,pama1250,.,.,.,.,.,#N/A,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Animal song //CODING ID 1221 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,Global Jukebox says the recordings of Indigenous Australians will not be published on this site without permission from tribal representatives.,########,YJW
Duplicate of NHS2-0481,NHS2-0482.wav,Funeral Song 3,NA,Unavailable,,,,"Global jukebox: ""no audio yet""",https://theglobaljukebox.org/?share=Totonac-T5405R63,Global Jukebox,1,0,,Mourning,Totonacan,papa1238,,language,,Totonac,Totonac,Central Mexico,,toto1251,papa1238,papa1238,yes,yes,yes,top,No secondary function,No,,,,The song is identified as such in its title or label,Funeral Song//CODING ID 3653 IN GLOBAL JUKEBOX//),NA,NA,,,,No,,########,JAY
Not a song,NHS2-0753.wav,Yucatan Maya Dance 1,NA,Unavailable,,,,,https://theglobaljukebox.org/?share=Yucatan%20Maya-T5486R01,Global Jukebox,,,"this isn't a song, it's a dance pattern",Dance,Mayan,yuca1254,,language,,Yucatan (Not in eHRAF),Mayan,Maya Area,,maya1287,yuca1254,yuca1252,no,yes,yes,yua,No secondary function,No,,,,The song is identified as such in its title or label,"Yucatan Maya Dance 1 //CODING ID Murdock Number: 21033; 29118 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE TITLE//",NA,NA,,,,No,,10/16/2018 13:29:22,NLR
Duplicate of NHS2-1295,NHS2-0762.wav,Curing Ceremony Song,NA,Unavailable,,,,,http://media.theglobaljukebox.org/audio/T5593R07.mp3,Global Jukebox,,,repeat of above,Healing,Nuclear Trans New Guinea,eipo1242,,language,,Eipo (not listed in HRAF),Eipo,Melanesia,,nucl1709,eipo1242,eipo1242,yes,yes,yes,eip,No secondary function,No,,,,The song is identified as such in its title or label,"Healing song //CODING ID 9795 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,"First link is the audio file, second is metadata: https://theglobaljukebox.org/?share=Eipo-T5593R07",Yes,6,Yes,,8/20/2018 2:36:57,PWC
Duplicate of NHS2-0771,NHS2-0770.wav,Tanua Dance,NA,Unavailable,,,,Duplicate to track below (Tanua Dance),http://media.theglobaljukebox.org/audio/T30205.mp3,Global Jukebox,,,repeat of above,Dance,Austronesian,kara1486,,language,,Kara(not listed in HRAF),Kara,Melanesia,,aust1307,kara1481,kara1486,no,no,no,reg,No secondary function,No,,,,The song is identified as such in its title or label,"Dance song; ceremonial song //CODING ID 30205 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,"First link is the audio file, second is metadata https://theglobaljukebox.org/?share=Kara-T30205",Yes,6,Yes,,8/15/2018 15:46:08,PWC
Duplicate of NHS2-0778,NHS2-0777.wav,Village Dance Song,NA,Unavailable,,,,,http://media.theglobaljukebox.org/audio/T5431R12.mp3,Global Jukebox,,,repeat of above,Dance,Austronesian,kuan1248,,language,,Tolai (not listed in HRAF),Tolai,Melanesia,,aust1307,kuan1248,kuan1248,yes,yes,yes,ksd,No secondary function,No,,,,The song is identified as such in its title or label,"Dance song CODING ID 4252 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,"First link is the audio file, second is metadata: https://theglobaljukebox.org/?share=Tolai-T5431R12",Yes,6,Yes,,8/15/2018 15:59:05,PWC
no audio,NHS2-0780.wav,Buzuburu,NA,Unavailable,,,,,https://theglobaljukebox.org/?share=Tolai-T5430R33,Global Jukebox,,,no audio,Work,Austronesian,kuan1248,,language,,Tolai (not listed in HRAF),Tolai,Melanesia,,aust1307,kuan1248,kuan1248,yes,yes,yes,ksd,No secondary function,No,,,,The song is identified as such in its title or label,"Work song; gathering song //CODING ID 9598 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,No audio yet,8/15/2018 16:10:33,PWC
no audio,NHS2-0781.wav,Jejere dukuli,NA,Unavailable,,,,,https://theglobaljukebox.org/?share=Tolai-T5430R33,Global Jukebox,,,no audio,Work,Austronesian,kuan1248,,language,,Tolai (not listed in HRAF),Tolai,Melanesia,,aust1307,kuan1248,kuan1248,yes,yes,yes,ksd,No secondary function,No,,,,The song is identified as such in its title or label,"Work song //CODING ID 9599 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,No audio yet,8/15/2018 16:13:20,PWC
no audio,NHS2-1065.wav,Pipe Dance,NA,Unavailable,,,,,https://imgur.com/a/ZdMEWik,Global Jukebox,,,subject to tribal permission,Dance,Caddoan,arik1262,,language,,"Chahiksichahiks, Pawnee, Caddoan Language",Pawnee,Plains and Plateau,,cadd1255,cadd1255,pawn1254,no,yes,yes,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance//CODING ID 2241IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","Song from the sacred and complex Pipe Dance ritual; singer was a chief of the Skidi band//CODING ID 2241IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,"Track not available on GJB, but a copy is in Alan Lomax Collection, American Folklife Center, Library of Congress",,,No,We need to find original recording for this one since it's subject to tribal permission and not playing through GJB. Permalink goes to screenshot of GJB since there was no functioning link directly to the song.,8/25/2018 23:59:24,SAS
NOT MUSIC (this is a poem),NHS2-0434.wav,Grandeur of Mexico,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/in-the-trail-of-the-wind-american-indian-poems-and-ritual-orations/oclc/136520&referer=brief_results,WorldCat,,,print book,Praise,Uto-Aztecan,azte1234,,family,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,The song is identified as such in its title or label,Praise Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has information on where to find the material.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0436.wav,Songs of birds,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/in-the-trail-of-the-wind-american-indian-poems-and-ritual-orations/oclc/136520&referer=brief_results,WorldCat,,,print book,Story,Uto-Aztecan,azte1234,,family,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,The song is identified as such in its title or label,Story Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has information on where to find the song.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0437.wav,Thus it is told.,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/in-the-trail-of-the-wind-american-indian-poems-and-ritual-orations/oclc/136520&referer=brief_results,WorldCat,,,print book,Story,Uto-Aztecan,azte1234,,family,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,The song is identified as such in its title or label,Story Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has information on where to find the material.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0441.wav,Confession of sin,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,this is a book -- no song link?,Healing,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing Song// TITLE IN WORLDCAT//,Against sickness and evil,NA,The provided hyperlink gives a link to the material where the song is.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0442.wav,Cradlesong for Ahuitzotl,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,this is a book,Lullaby,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby Song// TITLE IN WORLDCAT//,NA,NA,"The provided hyperlink has the link to the material where the song can be found,",,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0443.wav,A widow's lament,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,print book no sound,Mourning,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Mourning Song// TITLE IN WORLDCAT//,For the dying and the dead// TITLE IN WORLDCAT//,NA,The provided hyperlink gives information on where to find the material.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0444.wav,Prayer to the deceased,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,print book no sound,Mourning,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Mourning Song// TITLE IN WORLDCAT//,For the dying and the dead// TITLE IN WORLDCAT//,NA,The provided link gives information on where to find the material.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0445.wav,Prayer of the midwife to the goddess of water,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,print book,Work,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,The song is identified as such in its title or label,Work Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink gives a link to the material where the song is.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0446.wav,To keep animals out of the cornfield,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,print book,Work,Uto-Aztecan,clas1250,,language,,Aztec,Aztec,Central Mexico,,utoa1244,clas1250,clas1250,yes,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Work Song// TITLE IN WORLDCAT//,Planting and gathering,NA,The hyperlink gives link to where the material is.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0452.wav,Love song,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/in-the-trail-of-the-wind-american-indian-poems-and-ritual-orations/oclc/136520&referer=brief_results,WorldCat,,,from a print book,Love,Uto-Aztecan,guer1241,,language,,Nahuatl,Aztec,Central Mexico,,utoa1244,azte1234,azte1234,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Love Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has information about where the song can be found.,,,No,,########,JAY
NOT MUSIC (this is a poem),NHS2-0454.wav,I am the medicine,NA,,,,,NOT MUSIC (this is a poem),http://www.worldcat.org/title/sacred-path-spells-prayers-power-songs-of-the-american-indians/oclc/10020978&referer=brief_results,WorldCat,,,this is a book --no song link here,Healing,Otomanguean,huau1238,,language,,Mazatec,Mazatec,Central Mexico,,otom1299,huau1238,huau1238,yes,yes,yes,mau,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing Song// TITLE IN WORLDCAT//,Against sickness and evil,NA,The hyperlink provides a link to where the material is located.,,,No,,########,JAY
